X	Y
0.0000000000	-1482.8897338403
0.0039525692	-1437.2623574144
0.0039840637	-1385.9315589354
0.0079051383	-1277.5665399240
0.0237154150	-1169.2015209125
0.0395256917	-1112.1673003802
0.0438247012	-1083.6501901141
0.0513833992	-1043.7262357414
0.0536414884	-1041.4156816292
0.0632411067	-1003.8022813688
0.0711462451	-941.0646387833
0.0790513834	-889.7338403042
0.0869565217	-844.1064638783
0.0876494024	-815.5893536122
0.1027667984	-792.7756653992
0.1225296443	-741.4448669202
0.1366702792	-697.6018852232
0.1462450593	-695.8174904943
0.1660079051	-661.5969581749
0.1818181818	-615.9695817490
0.2033167830	-583.1149028404
0.2055335968	-581.7490494297
0.2332015810	-541.8250950570
0.2512286715	-507.8067898279
0.2608695652	-490.4942965779
0.2806324111	-439.1634980989
0.2949231713	-402.3048617587
0.3003952569	-399.2395437262
0.3162055336	-359.3155893536
0.3438735178	-342.2053231939
0.3754940711	-296.5779467681
0.3907805530	-275.8336063715
0.3952569170	-262.3574144487
0.4063745020	-256.6539923954
0.4229249012	-228.1368821293
0.4386630374	-179.3986440507
0.4466403162	-193.9163498099
0.4624505929	-153.9923954373
0.4664031621	-136.8821292776
0.4782451630	-119.1559341684
0.4901185771	-108.3650190114
0.5059288538	-74.1444866920
0.5059760956	-62.7376425856
0.5115600138	-55.8762003176
0.5256916996	-39.9239543726
0.5415019763	-28.5171102662
0.5612648221	-17.1102661597
0.56671789    0.0000000000
0.5770750988	11.4068441065
0.5776892430	17.1102661597
0.5889328063	22.8136882129
0.5896414343	28.5171102662
